,samuel,alex,Gaby,Willy,Sargeras
0,0.03269342,0.13344853,0.065699965,0.11582365,0.081216164
1,0.11490104,-0.0046265665,0.08200735,0.10138357,0.016183825
2,0.019083476,0.011194045,-0.019963581,0.035550423,0.003608153
3,-0.043358993,-0.008919295,-0.030210625,0.081407025,-0.03007181
4,0.1237128,0.17624497,0.07414363,0.17173652,0.13465586
5,0.09751508,0.22083111,0.18488517,0.23216900000000001,0.19245596
6,0.06015119,0.13804343,0.08764674,0.13007180000000002,0.095369294
7,0.05299192,0.03574967,0.06318848,-0.03495941,0.035268635
8,-0.12202245,-0.07059707,-0.085954905,-0.060766358,-0.13258801
9,-0.0123371575,-0.11931133,-0.04188805,-0.033448488,-0.05382082
10,-0.01764528,-0.025554672,0.03313697,0.0060878424,-0.007098876
11,-0.043212734,0.068964645,-0.007757733599999999,0.0033903117,0.03529246
12,0.021048456,0.056034386,0.07865941,0.008623061999999999,0.09771483
13,0.013938521,-0.03310161,-0.058973044,-0.03601681,-0.03554087
14,0.14264761,0.08512667,0.025858,0.14790352,0.092120185
15,-0.043310992,-0.06879249,0.003345202,-0.06999625,-0.022038464
16,0.0390829,0.019771745,-0.06801086,0.07697431,-0.05658421
17,-0.094357714,-0.029981002000000007,-0.051775627000000005,0.034367334,-0.043327842
18,0.008966679,-0.09235757,-0.1111539,-0.06081607,-0.06936372
19,0.14932671,0.11467942,0.15124445,0.0385163,0.15067104
20,-0.009654926,0.075450264,0.10410988,0.0050721928,0.094990924
21,-0.02579552,0.07200973,-0.10676497,0.024288524,-0.052731197
22,0.08325143,0.029168138,0.05164554,0.019796753,0.083019875
23,0.004374633,0.11890119,0.039092086,0.09842442,0.061431605
24,0.01127882,-0.023214156,-0.016661402,0.0935627,-0.002205345
25,-0.106611475,-0.1416966,-0.08008734,-0.20374360000000002,-0.10629877
26,-0.13829385,-0.1309825,-0.12961385,-0.15287766,-0.15982404
27,-0.031264234,-0.09866436,-0.11352791,-0.06586307,-0.12945446
28,0.13250834,0.029668557999999998,0.062486123,0.037539817,0.043119375
29,-0.054876834000000006,0.041418113,0.0014697912,0.032438505,0.024428284
30,0.010904768,-0.005945433000000001,-0.015589555,0.07112892,-0.008928163
31,-0.052759897,-0.023101497000000002,-0.038799204,0.041856524,-0.036357827
32,-0.0011040505,-0.09700819,-0.060787223,-0.114389375,-0.07211913
33,0.022893867,0.09866558,0.07628463,0.06967204,0.06820214
34,0.016353700000000002,0.028354663,-0.020053182,0.04531415,0.011848958
35,0.06324540000000001,0.022757173,0.039126184,0.02726322,0.03338304
36,0.06272451,0.047454525,-0.014135527,0.03565196,-0.018259574
37,0.12685685,0.027506307,0.14648464,-0.03482297,0.080398224
38,-0.03617998,-0.08019923,-0.060797594,-0.033210363,-0.034133047
39,-0.060629427,-0.045810007,-0.06232981,-0.08019541,-0.064049706
40,0.062311165,0.12816072,0.045153312,0.13734558,0.06966801
41,0.039646246,0.052202612,-0.03646443,0.007782665500000001,-0.0068591796
42,-0.049675383,-0.008125021,-0.026825529,-0.016263908,-0.024145672
43,-0.1411033,-0.061672784,-0.04774401,-0.10552506,-0.080593616
44,-0.149501,-0.18818666,-0.10418264,-0.17148232,-0.16030243
45,0.17808685,0.010735695,0.0086871805,0.051312227,0.01754254
46,0.07234616599999999,0.045865603,0.10475943,0.016069684,0.078504615
47,0.03209321,0.013953459,-0.0011355632,0.026366364,0.01575112
48,-0.15553062,-0.07058005,-0.20976833,-0.109764084,-0.14994018
49,0.039613534,0.088837266,0.07303353,-0.0060110115,0.07408275
50,-0.19406652,-0.04447823,-0.11710961,0.0014532864000000002,-0.10305587
